iter	MultiClass
0	0.9870552516
1	0.8983919451
2	0.825597799
3	0.7677441279
4	0.7184333532
5	0.6786010395
6	0.6443596148
7	0.6149345999
8	0.5890604615
9	0.5665849414
10	0.5471815426
11	0.5304245844
12	0.5160202709
13	0.5033691836
14	0.4923637547
15	0.4821566921
16	0.4737390505
17	0.4655376959
18	0.4584119241
19	0.4520054335
20	0.4462481069
21	0.4414015795
22	0.4369220561
23	0.432770239
24	0.4288304096
25	0.4244918241
26	0.4217117636
27	0.4183569796
28	0.4153730353
29	0.413173572
30	0.4111234022
31	0.409581399
32	0.4077843717
33	0.4058818684
34	0.4041020424
35	0.402616251
36	0.4009803864
37	0.3997106055
38	0.3978340656
39	0.3965594788
40	0.3953575853
41	0.394349132
42	0.3935506501
43	0.3925895121
44	0.3915448975
45	0.3902550641
46	0.3894544182
47	0.3881559511
48	0.3873151855
49	0.3861433486
50	0.3844371339
51	0.3835274132
52	0.3824745072
53	0.3816473491
54	0.3808354048
55	0.3801657294
56	0.3793721613
57	0.3787811362
58	0.3777242438
59	0.3772623283
60	0.3762661582
61	0.3756634388
62	0.3748739756
63	0.3742929597
64	0.3737096367
65	0.3731735545
66	0.3725090639
67	0.3717105048
68	0.3709459961
69	0.3700405372
70	0.3688465217
71	0.3684927508
72	0.3675452209
73	0.3669912803
74	0.3665568976
75	0.365526102
76	0.3650026733
77	0.3645652176
78	0.363958515
79	0.3635204682
80	0.3628889715
81	0.362230344
82	0.3616775208
83	0.3613522901
84	0.3610656954
85	0.3604695995
86	0.3600632957
87	0.3597327621
88	0.3588952774
89	0.3581661863
90	0.3575701318
91	0.3571808061
92	0.3569288976
93	0.3563548732
94	0.3560195971
95	0.3556004924
96	0.3550132692
97	0.3542204761
98	0.3536210645
99	0.3530249822
100	0.3524985595
101	0.3521394887
102	0.3518169128
103	0.3515571425
104	0.3511249817
105	0.3506124895
106	0.35012409
107	0.3500116285
108	0.3495401499
109	0.3491390809
110	0.3485397203
111	0.348021025
112	0.3477309498
113	0.3475591945
114	0.346977496
115	0.3465748666
116	0.3459177205
117	0.3456265393
118	0.3452313297
119	0.344785034
120	0.3442760171
121	0.3437337298
122	0.343114278
123	0.3428620417
124	0.3423030768
125	0.3421288149
126	0.3416286586
127	0.3412024207
128	0.3409950213
129	0.3404620987
130	0.3402130898
131	0.3396447641
132	0.3394977314
133	0.3392072839
134	0.338799323
135	0.3382800538
136	0.3378870276
137	0.3375066987
138	0.3368792507
139	0.3365904703
140	0.3360713681
141	0.3357775272
142	0.335239722
143	0.3348569996
144	0.3343269119
145	0.3341130588
146	0.3338776442
147	0.3335086906
148	0.3331278361
149	0.3326586783
150	0.3323036473
151	0.3319893141
152	0.3315513597
153	0.3312190507
154	0.3308013048
155	0.3303675799
156	0.3301345249
157	0.3298341178
158	0.3292706851
159	0.3289675207
160	0.3286204577
161	0.3282699585
162	0.327935455
163	0.3274325602
164	0.3272666948
165	0.3269915743
166	0.3268177133
167	0.3264448719
168	0.3261139134
169	0.325721581
170	0.3254450649
171	0.3252403963
172	0.3249532955
173	0.3246557083
174	0.3244934408
175	0.3242443794
176	0.3239152666
177	0.3236791413
178	0.3233530223
179	0.3231545354
180	0.3226773877
181	0.322315787
182	0.3220358594
183	0.3217929872
184	0.3216754939
185	0.3213814769
186	0.3212590402
187	0.3208929314
188	0.3205392654
189	0.3201655799
190	0.3198482779
191	0.3195080098
192	0.3193518424
193	0.3190208433
194	0.3187536476
195	0.3182865392
196	0.3178102996
197	0.3175861647
198	0.3171154854
199	0.3168065967
200	0.3166298052
201	0.3163886618
202	0.3161647812
203	0.3160799445
204	0.3159251187
205	0.3157890707
206	0.315427897
207	0.3152158427
208	0.314663131
209	0.314373576
210	0.3141461785
211	0.313941398
212	0.3137149958
213	0.3135346598
214	0.3130608369
215	0.3129106116
216	0.3125645726
217	0.3121682837
218	0.3118250488
219	0.3115733675
220	0.3110864883
221	0.3108260327
222	0.3105686953
223	0.3103394454
224	0.3100334673
225	0.3097774219
226	0.3095082662
227	0.3092331023
228	0.3089876706
229	0.3088964662
230	0.3086364446
231	0.3083250048
232	0.308135028
233	0.3078631067
234	0.3076728258
235	0.3074134571
236	0.3072352739
237	0.3066986979
238	0.3064562514
239	0.3061309212
240	0.3057539013
241	0.3055304321
242	0.305262319
243	0.3051435702
244	0.304684184
245	0.3043851903
246	0.3042728047
247	0.3040631223
248	0.303860109
249	0.3036834158
250	0.3033362263
251	0.3029740125
252	0.3025883117
253	0.3023000637
254	0.3021159815
255	0.3016564304
256	0.3015704481
257	0.3013425547
