iter	Passed	Remaining
0	56	28441
1	61	15255
2	63	10516
3	66	8205
4	68	6741
5	70	5777
6	72	5077
7	73	4550
8	75	4132
9	77	3803
10	79	3529
11	81	3298
12	82	3103
13	84	2936
14	86	2783
15	87	2651
16	89	2546
17	91	2442
18	92	2354
19	94	2270
20	96	2190
21	97	2122
22	99	2059
23	101	2005
24	102	1951
25	104	1909
26	106	1862
27	108	1820
28	109	1779
29	111	1741
30	112	1707
31	114	1671
32	115	1641
33	117	1614
34	119	1585
35	121	1562
36	122	1537
37	124	1513
38	126	1491
39	127	1470
40	129	1449
41	131	1429
42	132	1409
43	134	1392
44	136	1376
45	137	1359
46	139	1344
47	141	1329
48	142	1313
49	144	1301
50	146	1288
51	148	1275
52	149	1261
53	151	1249
54	152	1237
55	154	1226
56	156	1214
57	157	1203
58	159	1192
59	160	1180
60	162	1171
61	164	1160
62	166	1151
63	167	1141
64	169	1135
65	171	1127
66	173	1118
67	174	1109
68	176	1101
69	177	1092
70	179	1085
71	181	1076
72	183	1070
73	184	1063
74	186	1055
75	187	1047
76	189	1040
77	191	1034
78	192	1027
79	194	1021
80	196	1015
81	197	1008
82	199	1002
83	201	996
84	202	990
85	204	984
86	206	978
87	207	973
88	209	967
89	211	962
90	212	956
91	214	951
92	216	945
93	217	940
94	219	935
95	221	930
96	222	925
97	224	921
98	226	916
99	227	911
100	229	907
101	235	918
102	238	918
103	240	917
104	243	914
105	244	910
106	246	905
107	249	903
108	251	900
109	252	895
110	255	897
111	258	893
112	260	890
113	261	885
114	263	881
115	264	877
116	266	872
117	268	868
118	269	863
119	271	859
120	273	855
121	275	852
122	276	847
123	278	843
124	279	839
125	281	835
126	283	831
127	284	827
128	286	823
129	288	820
130	289	816
131	291	812
132	293	809
133	295	805
134	296	801
135	298	798
136	299	794
137	301	791
138	303	787
139	304	783
140	306	780
141	308	777
142	309	773
143	311	770
144	313	767
145	314	763
146	316	760
147	318	757
148	320	754
149	321	750
150	323	747
151	325	744
152	326	741
153	328	737
154	329	734
155	331	730
156	333	727
157	334	724
158	336	721
159	337	717
160	339	714
161	341	711
162	342	708
163	344	705
164	345	702
165	348	701
166	351	701
167	355	701
168	356	698
169	358	695
170	360	692
171	361	689
172	363	686
173	364	683
174	366	680
175	368	678
176	369	674
177	371	671
178	372	668
179	374	665
180	376	663
181	377	660
182	379	657
183	381	655
184	383	652
185	384	649
186	386	646
187	387	643
188	389	640
189	390	637
190	392	634
191	394	632
192	395	629
193	397	627
194	399	624
195	400	621
196	402	619
197	404	616
198	405	614
199	407	611
200	409	609
201	413	609
202	416	608
203	419	608
204	420	605
205	424	605
206	426	603
207	429	602
208	430	600
209	432	597
210	434	595
211	436	592
212	437	590
213	439	587
214	441	584
215	442	582
216	444	580
217	446	577
218	448	575
219	449	572
220	451	570
221	453	567
222	455	565
223	456	562
224	458	560
225	463	561
226	467	561
227	468	559
228	470	556
229	472	554
230	473	551
231	478	552
232	480	550
233	482	548
234	483	545
235	485	543
236	487	540
237	489	538
238	490	535
239	492	533
240	494	531
241	495	528
242	497	525
243	498	523
244	500	521
245	502	518
246	503	516
247	505	513
248	507	511
249	509	509
250	510	506
251	512	504
252	514	502
253	515	499
254	517	497
255	519	494
256	520	492
257	522	489
258	524	487
259	525	485
260	527	482
261	528	480
262	530	477
263	532	475
264	533	473
265	535	470
266	537	468
267	538	466
268	540	464
269	542	461
270	543	459
271	545	456
272	546	454
273	548	452
274	550	450
275	551	447
276	553	445
277	555	443
278	559	443
279	562	441
280	563	439
281	565	437
282	567	434
283	568	432
284	570	430
285	571	427
286	573	425
287	575	423
288	576	421
289	578	418
290	579	416
291	581	414
292	583	412
293	584	409
294	586	407
295	588	405
296	589	403
297	591	400
298	592	398
299	594	396
300	596	394
301	599	392
302	600	390
303	604	389
304	607	388
305	612	388
306	614	386
307	617	384
308	619	383
309	621	381
310	623	378
311	625	376
312	626	374
313	628	372
314	629	369
315	631	367
316	633	365
317	634	363
318	636	361
319	638	359
320	640	357
321	641	354
322	643	352
323	645	350
324	647	348
325	648	346
326	650	344
327	652	342
328	653	339
329	655	337
330	657	335
331	658	333
332	660	331
333	662	329
334	664	327
335	665	324
336	667	322
337	669	320
338	672	319
339	673	317
340	675	315
341	677	313
342	679	310
343	680	308
344	682	306
345	684	304
346	686	302
347	688	300
348	689	298
349	691	296
350	693	294
351	694	292
352	696	290
353	698	287
354	699	285
355	701	283
356	703	281
357	704	279
358	706	277
359	707	275
360	709	273
361	711	271
362	712	269
363	715	267
364	716	265
365	718	263
366	720	260
367	721	258
368	723	256
369	725	254
370	726	252
371	728	250
372	730	248
373	731	246
374	733	244
375	735	242
376	737	240
377	738	238
378	740	236
379	741	234
380	743	232
381	744	230
382	746	228
383	748	226
384	749	223
385	751	221
386	753	219
387	754	217
388	756	215
389	758	213
390	759	211
391	761	209
392	763	207
393	764	205
394	766	203
395	768	201
396	769	199
397	771	197
398	773	195
399	774	193
400	776	191
401	779	189
402	782	188
403	785	186
404	787	184
405	789	182
406	791	180
407	792	178
408	795	176
409	797	175
410	798	172
411	800	171
412	802	169
413	804	167
414	805	165
415	807	163
416	809	161
417	811	159
418	813	157
419	814	155
420	816	153
421	818	151
422	820	149
423	821	147
424	823	145
425	824	143
426	826	141
427	828	139
428	830	137
429	831	135
430	833	133
431	835	131
432	836	129
433	838	127
434	840	125
435	842	123
436	843	121
437	845	119
438	847	117
