iter	MultiClass
0	1.033673008
1	0.9784354628
2	0.9309105667
3	0.8896202884
4	0.8535456741
5	0.8211734186
6	0.792316317
7	0.7666810923
8	0.7437693021
9	0.7230472888
10	0.7044843872
11	0.6874594976
12	0.6720470342
13	0.6576278691
14	0.6444443174
15	0.6326145033
16	0.6216359894
17	0.6116895874
18	0.6024965578
19	0.59382166
20	0.5854776495
21	0.5778457513
22	0.5709527977
23	0.5646981049
24	0.5586240577
25	0.5532068685
26	0.5480339185
27	0.5433801707
28	0.5389411976
29	0.5349515745
30	0.5311922046
31	0.527659176
32	0.523967159
33	0.520989781
34	0.5180783253
35	0.5150104714
36	0.5122091775
37	0.5097278076
38	0.5074768276
39	0.50515483
40	0.5027580561
41	0.5006868661
42	0.4985997163
43	0.4969264335
44	0.4952040401
45	0.4939224049
46	0.492632951
47	0.4909324236
48	0.4893319621
49	0.4879297928
50	0.4866422952
51	0.4855311786
52	0.4843107467
53	0.4832844231
54	0.4821430498
55	0.4812912728
56	0.4805269156
57	0.4797410626
58	0.4786268899
59	0.4777744585
60	0.4766936232
61	0.4759706796
62	0.4751035337
63	0.4744360754
64	0.4735183792
65	0.472851705
66	0.4720831945
67	0.4714767244
68	0.4708213834
69	0.4702462979
70	0.4695541261
71	0.4688543534
72	0.4681382761
73	0.4674183209
74	0.4666622771
75	0.4661124513
76	0.4656351935
77	0.4651368642
78	0.4644474461
79	0.463714286
80	0.4630732869
81	0.4625018168
82	0.4617602268
83	0.4612835589
84	0.4607723918
85	0.4601494706
86	0.4594458332
87	0.4589294433
88	0.4584757151
89	0.458102618
90	0.4576087885
91	0.4570442234
92	0.456592382
93	0.4562195399
94	0.4557350263
95	0.4553581302
96	0.4548027407
97	0.4542199607
98	0.4537291006
99	0.453275571
100	0.4528369518
101	0.4525579232
102	0.4521467983
103	0.4517059346
104	0.4513185763
105	0.451004337
106	0.4506177007
107	0.4503195144
108	0.4497391837
109	0.4494228787
110	0.4490501532
111	0.448548747
112	0.4480516445
113	0.4477138149
114	0.4474312185
115	0.4470626655
116	0.4465161269
117	0.4461164958
118	0.4458776035
119	0.4454339791
120	0.4450795614
121	0.4446685369
122	0.4444265266
123	0.4441669778
124	0.4439186135
125	0.4436435941
126	0.4433740551
127	0.4430771774
128	0.4426283243
129	0.4423525871
130	0.4420991109
131	0.4417406175
132	0.4414863548
133	0.4411577349
134	0.4409781769
135	0.4407410659
136	0.4404131816
137	0.4401847464
138	0.4398057614
139	0.4395212461
140	0.4392663256
141	0.4388846021
142	0.4385612759
143	0.4382973582
144	0.4380251827
145	0.4377147624
146	0.4373495416
147	0.4370993032
148	0.4368863896
149	0.4365281936
150	0.4363145463
151	0.4360458874
152	0.435802046
153	0.4355486626
154	0.435286601
155	0.4349243748
156	0.4347300872
157	0.4344592897
158	0.4342340264
159	0.4339259727
160	0.4336672143
161	0.4333506755
162	0.4331068669
163	0.4326809503
164	0.432407622
165	0.4320708605
166	0.4318063477
167	0.4316341318
168	0.4314055871
169	0.4310914792
170	0.4307883243
171	0.4305250766
172	0.4303751444
173	0.4300884862
174	0.4298669502
175	0.4295472265
176	0.4292908981
177	0.4290748408
178	0.4287457683
179	0.4284362401
180	0.4279341881
181	0.4276793605
182	0.4275607727
183	0.4272310427
184	0.4269290968
185	0.4268155147
186	0.4266638068
187	0.4265139927
188	0.4262595996
189	0.4260589346
190	0.4258600231
191	0.4255892105
192	0.4253302466
193	0.4250898635
194	0.4249204259
195	0.4247504431
196	0.4244402193
197	0.42425993
198	0.4239771192
199	0.4236813338
