iter	Passed	Remaining
0	2	2498
1	4	2035
2	7	2195
3	11	2622
4	13	2385
5	15	2289
6	18	2377
7	19	2222
8	21	2101
9	22	2008
10	23	1930
11	24	1860
12	26	1804
13	27	1754
14	28	1706
15	29	1666
16	31	1635
17	32	1605
18	33	1576
19	36	1599
20	38	1638
21	40	1615
22	41	1591
23	42	1571
24	47	1663
25	48	1655
26	50	1649
27	52	1632
28	53	1609
29	54	1594
30	55	1568
31	56	1543
32	57	1522
33	58	1503
34	59	1487
35	60	1470
36	62	1456
37	63	1441
38	64	1425
39	65	1415
40	67	1425
41	68	1418
42	70	1415
43	72	1415
44	73	1406
45	74	1397
46	75	1386
47	77	1391
48	79	1386
49	80	1377
50	81	1368
51	83	1373
52	85	1370
53	86	1369
54	88	1362
55	89	1355
56	90	1346
57	91	1339
58	92	1332
59	93	1324
60	95	1318
61	96	1310
62	97	1303
63	98	1297
64	100	1294
65	101	1287
66	102	1281
67	103	1275
68	104	1269
69	105	1263
70	106	1257
71	108	1253
72	109	1248
73	110	1242
74	111	1237
75	112	1232
76	113	1227
77	115	1221
78	116	1219
79	117	1214
80	118	1209
81	119	1204
82	120	1199
83	122	1194
84	123	1189
85	124	1184
86	125	1180
87	126	1176
88	127	1172
89	128	1167
90	129	1163
91	130	1158
92	132	1154
93	133	1151
94	134	1148
95	135	1143
96	136	1139
97	137	1135
98	138	1131
99	139	1127
100	140	1123
101	142	1120
102	143	1116
103	144	1113
104	145	1110
105	146	1107
106	147	1104
107	149	1101
108	150	1099
109	151	1095
110	152	1091
111	153	1089
112	154	1086
113	155	1082
114	156	1079
115	157	1075
116	159	1073
117	160	1070
118	161	1067
119	162	1064
120	163	1061
121	164	1058
122	165	1055
123	167	1053
124	168	1050
125	169	1047
126	170	1045
127	171	1043
128	172	1041
129	174	1038
130	175	1036
131	176	1033
132	177	1030
133	178	1028
134	179	1025
135	180	1022
136	181	1020
137	182	1018
138	184	1016
139	185	1013
140	186	1011
141	187	1009
142	188	1006
143	189	1004
144	190	1002
145	192	1000
146	193	997
147	194	995
148	195	993
149	196	990
150	197	988
151	198	986
152	200	987
153	201	985
154	202	983
155	204	981
156	205	979
157	206	976
158	207	974
159	208	971
160	209	969
161	210	967
162	211	965
163	212	963
164	214	961
165	215	958
166	216	957
167	218	960
168	222	970
169	224	971
170	225	969
171	226	967
172	227	965
173	228	963
174	230	961
175	232	964
176	234	965
177	235	962
178	237	963
179	238	961
180	239	959
181	240	958
182	242	956
183	243	955
184	244	953
185	245	951
186	247	949
187	248	947
188	250	948
189	251	946
190	252	945
191	254	944
192	255	944
193	257	943
194	258	942
195	259	940
196	260	939
197	262	937
198	263	935
199	264	934
200	265	932
201	268	935
202	269	933
203	270	931
204	272	930
205	273	928
206	274	926
207	275	924
208	276	922
209	277	921
210	279	919
211	280	917
212	281	915
213	282	914
214	283	912
215	285	910
216	286	909
217	287	907
218	288	905
219	289	903
220	290	901
221	292	899
222	293	898
223	294	896
224	295	894
225	296	892
226	297	891
227	299	889
228	300	888
229	301	886
230	302	884
231	303	882
232	305	881
233	306	879
234	307	877
235	308	875
236	309	873
237	310	872
238	311	870
239	312	868
240	314	866
241	315	864
242	316	863
243	317	861
244	318	860
245	319	858
246	321	856
247	322	855
248	323	853
249	324	852
250	325	850
251	327	849
252	328	847
253	329	845
254	330	843
255	331	842
256	333	841
257	334	839
258	335	837
259	337	837
260	338	835
261	339	834
262	340	832
263	341	830
264	342	829
265	344	827
266	345	826
267	346	824
268	347	823
269	348	821
270	350	820
271	351	818
272	352	817
273	353	815
274	354	814
275	355	812
276	356	810
277	358	808
278	359	807
279	360	806
280	361	804
281	362	802
282	363	800
283	365	799
284	366	797
285	367	796
286	368	794
287	369	792
288	370	791
289	371	789
290	372	788
291	374	786
292	375	784
293	376	783
294	377	781
295	378	780
296	379	778
297	380	776
298	381	775
299	383	774
300	384	772
301	385	771
302	386	769
303	387	767
304	388	766
305	389	764
306	391	762
307	392	761
308	393	759
309	394	758
310	395	756
311	396	755
312	397	753
313	398	752
314	400	750
315	401	749
316	402	747
317	403	746
318	404	744
319	405	743
320	407	741
321	408	740
322	409	738
323	410	737
324	411	735
325	412	734
326	413	732
327	414	731
328	416	729
329	417	728
330	418	726
331	419	725
332	420	723
333	421	722
334	423	721
335	424	719
336	425	718
337	426	717
338	427	715
339	429	714
340	430	712
341	431	711
342	432	709
343	433	708
344	434	707
345	436	705
346	437	704
347	438	703
348	439	701
349	440	700
350	442	700
351	445	700
352	446	699
353	447	697
354	448	696
355	449	695
356	451	693
357	452	692
358	453	690
359	454	689
360	455	688
361	456	686
362	458	685
363	459	683
364	460	682
365	461	680
366	462	679
367	464	678
368	465	677
369	466	675
370	467	674
371	469	673
372	470	672
373	472	671
374	473	671
375	475	669
376	476	668
377	477	667
378	479	667
379	481	665
380	482	664
381	483	663
382	484	661
383	485	660
384	487	660
385	489	659
386	491	658
387	492	657
388	493	655
389	495	655
390	497	655
391	500	656
392	501	654
393	502	653
394	503	651
395	506	652
396	508	652
397	509	650
398	511	649
399	513	649
400	514	648
401	516	647
402	517	645
403	518	644
404	519	642
405	520	641
406	522	640
407	523	638
408	524	637
409	525	635
410	526	634
411	528	633
412	529	631
413	530	630
414	531	629
415	532	627
416	534	626
417	535	624
418	536	623
419	537	622
420	538	620
421	539	619
422	541	617
423	542	616
424	543	614
425	544	613
426	545	612
427	546	610
428	548	609
429	549	608
430	550	607
431	552	606
432	553	604
433	555	603
434	556	602
435	557	601
436	558	599
437	559	598
438	561	596
439	563	596
440	565	595
441	566	594
442	567	593
443	569	592
444	570	591
445	572	590
446	573	588
447	574	587
448	575	585
449	576	584
450	578	583
451	579	581
452	580	580
453	581	579
454	582	577
455	584	576
456	585	575
457	586	573
458	587	572
459	588	570
460	589	569
461	591	568
462	592	566
463	593	565
464	594	563
465	595	562
466	596	560
467	597	559
468	598	558
469	600	556
470	601	555
471	602	553
472	603	552
473	604	551
474	606	549
475	607	548
476	608	547
477	609	545
478	610	544
479	611	543
480	613	541
481	614	540
482	615	538
483	616	537
484	617	536
485	618	534
486	620	533
487	621	532
488	622	531
489	623	529
490	625	528
491	627	527
492	628	526
493	629	525
494	630	523
495	631	522
496	632	520
497	634	519
498	635	518
499	636	516
500	637	515
501	638	514
502	639	512
503	640	511
504	642	509
505	643	508
506	644	507
507	645	505
508	646	504
509	647	503
510	649	501
511	650	500
512	652	500
513	654	498
514	655	498
515	657	496
516	658	495
517	659	493
518	660	492
519	662	491
520	663	490
521	664	489
522	666	487
523	667	486
524	669	485
525	671	485
526	672	483
527	673	482
528	675	481
529	677	480
530	678	479
531	679	477
532	680	476
533	682	475
534	683	473
535	684	472
536	685	471
537	686	469
538	688	468
539	689	467
540	690	465
541	691	464
542	692	463
543	693	461
544	695	460
545	696	459
